Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","YAG_CC0603_YAG",124.130000,-93.066100,90.000000,top
"C2","1uF","YAG_CC0603_YAG",128.723000,-89.560000,0.000000,top
"J1","436500500","CON_436500500_MOL",118.290000,-105.490000,-90.000000,top
"J2","1727010","CONN_1727010",162.844000,-95.572403,-90.000000,top
"J3","1727010","CONN_1727010",162.854000,-106.982400,-90.000000,top
"K1","C226S","C226S_COT",153.332000,-91.200000,0.000000,top
"K2","C226S","C226S_COT",153.304000,-107.450000,0.000000,top
"LED1","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",153.296100,-99.750000,0.000000,top
"LED2","XZCM2CRK53WA-8VF","LED_SMD_XZCM_1P6X0P8_SLD",127.953900,-99.750000,0.000000,top
"R1","470","RC0603N_YAG",144.974700,-95.180000,0.000000,top
"R2","470","RC0603N_YAG",144.925300,-104.420000,0.000000,top
"R3","750","RC0603N_YAG",144.975300,-99.750000,0.000000,top
"R4","750","RC0603N_YAG",126.000000,-105.500000,0.000000,top
"U1","CD74AC138M96","D16",137.442200,-99.805000,0.000000,top
"U2","MIC5504","SOT-23-5_MC_MCH",128.434600,-93.070000,0.000000,top
